,name,price,rating,reviews,search_url
0,ASUS VivoBook Ultra 14 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) X413EA-EB322TS Thin and Li...,"₹39,990",4.6,10 Reviews,https://www.flipkart.com/search?q=laptop
1,ASUS VivoBook 14 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK582T Thin and Li...,"₹46,990",4.5,147 Reviews,https://www.flipkart.com/search?q=laptop
2,HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeF...,"₹54,990",4.5,150 Reviews,https://www.flipkart.com/search?q=laptop
3,Lenovo Ideapad S145 Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) S145-15API Laptop,"₹40,990",4.2,152 Reviews,https://www.flipkart.com/search?q=laptop
4,HP 14s Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s-cf3074TU Thin and Light Laptop,"₹35,990",4.2,409 Reviews,https://www.flipkart.com/search?q=laptop
5,HP Pavilion x360 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dh1178TU 2 in 1 Laptop,"₹47,990",4.4,145 Reviews,https://www.flipkart.com/search?q=laptop
6,DELL Inspiron Pentium Quad Core - (4 GB/256 GB SSD/Windows 10 Home) Inspiron 3502 Laptop,"₹28,906",4.3,5 Reviews,https://www.flipkart.com/search?q=laptop
7,Mi Notebook 14 Core i5 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) JYU4298IN Thin and Light Laptop,"₹41,999",4.3,320 Reviews,https://www.flipkart.com/search?q=laptop
8,Lenovo Ideapad Flex 5 Ryzen 5 Hexa Core 4500U 4th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ARE05 2 in...,"₹56,990",,,https://www.flipkart.com/search?q=laptop
9,HP 15s Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-GR0012AU Laptop,"₹39,990",4.4,32 Reviews,https://www.flipkart.com/search?q=laptop
10,HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-du1064TU Laptop,"₹41,990",4.7,1 Reviews,https://www.flipkart.com/search?q=laptop
11,Lenovo ThinkPad E15 Core i3 11th Gen - (4 GB/256 GB SSD/DOS) E15 Laptop,"₹38,990",5.0,2 Reviews,https://www.flipkart.com/search?q=laptop
12,ASUS VivoBook 14 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK584T Thin and Li...,"₹46,990",4.4,70 Reviews,https://www.flipkart.com/search?q=laptop
13,HP 15s Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) 15s-eq0500AU Thin and Light Laptop,"₹45,990",4.4,2 Reviews,https://www.flipkart.com/search?q=laptop
14,HP 15s Dual Core 3020e - (4 GB/1 TB HDD/Windows 10 Home) 15s-GY0003AU Thin and Light Laptop,"₹22,990",4.0,39 Reviews,https://www.flipkart.com/search?q=laptop
15,DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) �INSP 5406 2 in 1 2 in 1 Laptop,"₹63,767",4.2,4 Reviews,https://www.flipkart.com/search?q=laptop
16,Lenovo Ideapad S145 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) S145-15IIL Laptop,"₹46,990",4.1,8 Reviews,https://www.flipkart.com/search?q=laptop
17,Vaio E Series Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) NE15V2IN007P Thin and Light ...,"₹44,990",4.3,50 Reviews,https://www.flipkart.com/search?q=laptop
18,Lenovo Ideapad S145 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows 10 Home) S145-15API Laptop,"₹27,990",4.0,54 Reviews,https://www.flipkart.com/search?q=laptop
19,Mi Notebook 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) JYU4299IN Thin and Light Laptop,"₹44,999",4.3,320 Reviews,https://www.flipkart.com/search?q=laptop
20,ASUS Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X509JB-EJ591T Laptop,"₹49,990",4.3,67 Reviews,https://www.flipkart.com/search?q=laptop
21,Vaio SE Series Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) NP14V1IN004P Thin and Light Laptop,"₹62,990",4.0,7 Reviews,https://www.flipkart.com/search?q=laptop
